wavenumbers,intensities
456.61,0.404
488.207,0.376
517.171,0.346
548.768,0.321
585.632,0.295
637.416,0.278
722.553,0.279
759.416,0.303
788.38,0.329
812.078,0.358
830.51,0.391
846.309,0.425
859.474,0.458
870.007,0.482
880.539,0.511
891.071,0.547
901.604,0.578
912.136,0.604
925.302,0.634
941.1,0.668
956.899,0.694
975.331,0.722
996.396,0.746
1030.626,0.773
1083.288,0.792
1157.015,0.8
1212.602,0.794
1268.658,0.785
1328.459,0.779
1387.557,0.772
1446.656,0.762
1488.786,0.742
1520.383,0.716
1541.448,0.689
1557.246,0.657
1570.412,0.626
1580.944,0.59
1588.843,0.558
1594.11,0.527
1596.743,0.503
1604.642,0.467
1608.153,0.433
1615.174,0.382
1625.0,0.302
1629.96,0.339
1641.505,0.266
1654.762,0.287
1669.643,0.32
1674.603,0.354
1678.369,0.393
1683.635,0.428
1688.901,0.466
1694.167,0.524
1694.167,0.502
1699.434,0.577
1699.434,0.553
1704.7,0.61
1709.966,0.647
1715.232,0.682
1720.499,0.714
1725.765,0.746
1733.664,0.786
1744.196,0.82
1757.362,0.846
1775.794,0.876
1807.391,0.901
1854.494,0.917
1920.614,0.911
1970.643,0.889
2019.619,0.869
2079.771,0.849
2161.982,0.847
2211.835,0.863
2262.917,0.888
2307.68,0.912
2346.424,0.944
2401.814,0.949
2458.519,0.961
2514.379,0.974
2578.89,0.985
2636.818,0.987
2694.088,0.979
2751.17,0.959
2789.538,0.934
2818.502,0.908
2836.934,0.884
2857.999,0.862
2881.696,0.834
2900.128,0.803
2913.294,0.773
2926.459,0.744
2939.625,0.713
2950.157,0.688
2960.689,0.664
2971.222,0.634
2981.754,0.609
2992.287,0.582
3002.819,0.545
3013.352,0.509
3023.884,0.475
3034.416,0.438
3044.949,0.402
3055.481,0.369
3066.014,0.338
3073.913,0.301
3081.812,0.274
3092.345,0.242
3102.877,0.211
3116.042,0.178
3129.208,0.147
3139.74,0.121
3152.906,0.092
3168.705,0.063
3192.402,0.034
3231.147,0.014
3305.626,0.002
3358.288,0.0
3416.216,0.0
3472.974,0.004
3533.828,0.016
3576.835,0.04
3603.166,0.069
3618.965,0.101
3629.497,0.131
3640.03,0.17
3647.929,0.201
3653.195,0.236
3658.461,0.281
3663.728,0.342
3663.728,0.319
3668.994,0.376
3674.26,0.441
3674.26,0.411
3679.526,0.478
3684.792,0.569
3684.792,0.545
3684.792,0.513
3690.059,0.601
3695.325,0.645
3700.591,0.684
3705.857,0.715
3711.124,0.749
3716.39,0.772
3724.289,0.798
3737.455,0.825
3755.886,0.852
3784.85,0.879
